ev;kategoria;indoklas;dijazott_azon;nev;szemely_nev;szemely_teljes_nev;nem;szuletesi_ev;szuletesi_datum;szuletesi_hely;szervezet_nev;rovidites;alapitas_eve;jelleg;hovatartozas_1;hovatartozas_2;hovatartozas_3;hovatartozas_4
1905;Béke;for her audacity to oppose the horrors of war;468;Bertha von Suttner;Bertha von Suttner;Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau;nő;;1843-06-09;Európa;;;;Személy;;;;
1905;Irodalmi;because of his outstanding merits as an epic writer;575;Henryk Sienkiewicz;Henryk Sienkiewicz;Henryk Sienkiewicz;férfi;;1846-05-05;Európa;;;;Személy;;;;
1905;Fizikai;for his work on cathode rays;9;Philipp Lenard;Philipp Lenard;Philipp Eduard Anton von Lenard;férfi;;1862-06-07;Európa;;;;Személy;Kiel University, Kiel, Germany;;;
1905;Orvosi;for his investigations and discoveries in relation to tuberculosis;297;Robert Koch;Robert Koch;Robert Koch;férfi;;1843-12-11;Európa;;;;Személy;Institute for Infectious Diseases, Berlin, Germany;;;
1906;Orvosi;in recognition of their work on the structure of the nervous system;298;Camillo Golgi;Camillo Golgi;Camillo Golgi;férfi;;1843-07-07;Európa;;;;Személy;Pavia University, Pavia, Italy;;;
1906;Irodalmi;not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces;576;Giosuè Carducci;Giosuè Carducci;Giosuè Carducci;férfi;;1835-07-27;Európa;;;;Személy;;;;
1906;Kémiai;in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him;165;Henri Moissan;Henri Moissan;Henri Moissan;férfi;;1852-09-28;Európa;;;;Személy;Sorbonne University, Paris, France;;;
1906;Fizikai;in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases;10;J.J. Thomson;J.J. Thomson;Joseph John Thomson;férfi;;1856-12-18;Európa;;;;Személy;University of Cambridge, Cambridge, United Kingdom;;;
1906;Orvosi;in recognition of their work on the structure of the nervous system;299;Santiago Ramón y Cajal;Santiago Ramón y Cajal;Santiago Ramón y Cajal;férfi;;1852-05-01;Európa;;;;Személy;Madrid University, Madrid, Spain;;;
1906;Béke;for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia;470;Theodore Roosevelt;Theodore Roosevelt;Theodore Roosevelt Jr;férfi;;1858-10-27;Észak-Amerika;;;;Személy;;;;
1907;Fizikai;for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid;11;Albert A. Michelson;Albert A. Michelson;Albert Abraham Michelson;férfi;;1852-12-19;Európa;;;;Személy;University of Chicago, Chicago, IL, USA;;;
1907;Orvosi;in recognition of his work on the role played by protozoa in causing diseases;300;Alphonse Laveran;Alphonse Laveran;Charles Louis Alphonse Laveran;férfi;;1845-06-18;Európa;;;;Személy;Institut Pasteur, Paris, France;;;
1907;Kémiai;for his biochemical researches and his discovery of cell-free fermentation;166;Eduard Buchner;Eduard Buchner;Eduard Buchner;férfi;;1860-05-20;Európa;;;;Személy;Landwirtschaftliche Hochschule (Agricultural College), Berlin, Germany;;;
1907;Béke;for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy;471;Ernesto Teodoro Moneta;Ernesto Teodoro Moneta;Ernesto Teodoro Moneta;férfi;;1833-09-20;Európa;;;;Személy;;;;
1907;Béke;for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences;472;Louis Renault;Louis Renault;Louis Renault;férfi;;1843-05-21;Európa;;;;Személy;Sorbonne University, Paris, France;;;
1907;Irodalmi;in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author;577;Rudyard Kipling;Rudyard Kipling;Rudyard Kipling;férfi;;1865-12-30;Ázsia;;;;Személy;;;;
1908;Kémiai;for his investigations into the disintegration of the elements, and the chemistry of radioactive substances;167;Ernest Rutherford;Ernest Rutherford;Ernest Rutherford;férfi;;1871-08-30;Óceánia;;;;Személy;Victoria University, Manchester, United Kingdom;;;
1908;Béke;for their long time work for the cause of peace as politicians, peace society leaders, orators and authors;474;Fredrik Bajer;Fredrik Bajer;Fredrik Bajer;férfi;;1837-04-21;Európa;;;;Személy;;;;
1908;Fizikai;for his method of reproducing colours photographically based on the phenomenon of interference;12;Gabriel Lippmann;Gabriel Lippmann;Gabriel Lippmann;férfi;;1845-08-16;Európa;;;;Személy;Sorbonne University, Paris, France;;;
1908;Orvosi;in recognition of their work on immunity;301;Ilya Mechnikov;Ilya Mechnikov;Ilya Ilyich Mechnikov;férfi;;1845-05-15;Európa;;;;Személy;Institut Pasteur, Paris, France;;;
1908;Béke;for their long time work for the cause of peace as politicians, peace society leaders, orators and authors;473;Klas Pontus Arnoldson;Klas Pontus Arnoldson;Klas Pontus Arnoldson;férfi;;1844-10-27;Európa;;;;Személy;;;;
1908;Orvosi;in recognition of their work on immunity;302;Paul Ehrlich;Paul Ehrlich;Paul Ehrlich;férfi;;1854-03-14;Európa;;;;Személy;Goettingen University, Göttingen, Germany;Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy), Frankfurt-on-the-Main, Germany;;
1908;Irodalmi;in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life;578;Rudolf Eucken;Rudolf Eucken;Rudolf Christoph Eucken;férfi;;1846-01-05;Európa;;;;Személy;;;;
1909;Béke;for their prominent position in the international movement for peace and arbitration;475;Auguste Beernaert;Auguste Beernaert;Auguste Marie François Beernaert;férfi;;1829-07-26;Európa;;;;Személy;;;;
1909;Fizikai;in recognition of their contributions to the development of wireless telegraphy;14;Ferdinand Braun;Ferdinand Braun;Karl Ferdinand Braun;férfi;;1850-06-06;Európa;;;;Személy;Strasbourg University, Strasbourg, Germany (now France);;;
1909;Fizikai;in recognition of their contributions to the development of wireless telegraphy;13;Guglielmo Marconi;Guglielmo Marconi;Guglielmo Marconi;férfi;;1874-04-25;Európa;;;;Személy;Marconi Wireless Telegraph Co. Ltd., London, United Kingdom;;;
1909;Béke;for their prominent position in the international movement for peace and arbitration;476;Paul Henri d'Estournelles de Constant;Paul Henri d'Estournelles de Constant;Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque;férfi;;1852-11-22;Európa;;;;Személy;;;;
1909;Irodalmi;in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings;579;Selma Lagerlöf;Selma Lagerlöf;Selma Ottilia Lovisa Lagerlöf;nő;;1858-11-20;Európa;;;;Személy;;;;
1909;Orvosi;for his work on the physiology, pathology and surgery of the thyroid gland;303;Theodor Kocher;Theodor Kocher;Emil Theodor Kocher;férfi;;1841-08-25;Európa;;;;Személy;Berne University, Bern, Switzerland;;;
1909;Kémiai;in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction;168;Wilhelm Ostwald;Wilhelm Ostwald;Wilhelm Ostwald;férfi;;1853-09-02;Európa;;;;Személy;Leipzig University, Leipzig, Germany;;;
1910;Orvosi;in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances;304;Albrecht Kossel;Albrecht Kossel;Albrecht Kossel;férfi;;1853-09-16;Európa;;;;Személy;University of Heidelberg, Heidelberg, Germany;;;
1910;Fizikai;for his work on the equation of state for gases and liquids;15;Johannes Diderik van der Waals;Johannes Diderik van der Waals;Johannes Diderik van der Waals;férfi;;1837-11-23;Európa;;;;Személy;Amsterdam University, Amsterdam, the Netherlands;;;
1910;Kémiai;in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds;169;Otto Wallach;Otto Wallach;Otto Wallach;férfi;;1847-03-27;Európa;;;;Személy;Goettingen University, Göttingen, Germany;;;
1910;Irodalmi;as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories;580;Paul Heyse;Paul Heyse;Paul Johann Ludwig Heyse;férfi;;1830-03-15;Európa;;;;Személy;;;;
1910;Béke;for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement;477;Permanent International Peace Bureau;;;;;;;Permanent International Peace Bureau;;1891;Szervezet;;;;
1911;Béke;for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations;479;Alfred Fried;Alfred Fried;Alfred Hermann Fried;férfi;;1864-11-11;Európa;;;;Személy;;;;
1911;Orvosi;for his work on the dioptrics of the eye;305;Allvar Gullstrand;Allvar Gullstrand;Allvar Gullstrand;férfi;;1862-06-05;Európa;;;;Személy;Uppsala University, Uppsala, Sweden;;;
1911;Irodalmi;in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations;581;Maurice Maeterlinck;Maurice Maeterlinck;Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck;férfi;;1862-08-29;Európa;;;;Személy;;;;
1911;Béke;for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations;478;Tobias Asser;Tobias Asser;Tobias Michael Carel Asser;férfi;;1838-04-28;Európa;;;;Személy;;;;
1911;Fizikai;for his discoveries regarding the laws governing the radiation of heat;16;Wilhelm Wien;Wilhelm Wien;Wilhelm Wien;férfi;;1864-01-13;Európa;;;;Személy;Würzburg University, Würzburg, Germany;;;
1911;Kémiai;in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element;6;Marie Curie;Marie Curie;Marie Curie, née Sklodowska;nő;;1867-11-07;Európa;;;;Személy;Sorbonne University, Paris, France;;;
1912;Orvosi;in recognition of his work on vascular suture and the transplantation of blood vessels and organs;306;Alexis Carrel;Alexis Carrel;Alexis Carrel;férfi;;1873-06-28;Európa;;;;Személy;Rockefeller Institute for Medical Research, New York, NY, USA;;;
1912;Béke;for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries;480;Elihu Root;Elihu Root;Elihu Root;férfi;;1845-02-15;Észak-Amerika;;;;Személy;;;;
1912;Irodalmi;primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art;582;Gerhart Hauptmann;Gerhart Hauptmann;Gerhart Johann Robert Hauptmann;férfi;;1862-11-15;Európa;;;;Személy;;;;
1912;Fizikai;for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys;17;Gustaf Dalén;Gustaf Dalén;Nils Gustaf Dalén;férfi;;1869-11-30;Európa;;;;Személy;Swedish Gas-Accumulator Co., Lidingö, Stockholm, Sweden;;;
1912;Kémiai;for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years;173;Paul Sabatier;Paul Sabatier;Paul Sabatier;férfi;;1854-11-05;Európa;;;;Személy;Toulouse University, Toulouse, France;;;
1912;Kémiai;for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry;172;Victor Grignard;Victor Grignard;Victor Grignard;férfi;;1871-05-06;Európa;;;;Személy;Nancy University, Nancy, France;;;
1913;Kémiai;in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry;174;Alfred Werner;Alfred Werner;Alfred Werner;férfi;;1866-12-12;Európa;;;;Személy;University of Zurich, Zurich, Switzerland;;;
1913;Orvosi;in recognition of his work on anaphylaxis;307;Charles Richet;Charles Richet;Charles Robert Richet;férfi;;1850-08-26;Európa;;;;Személy;Sorbonne University, Paris, France;;;
1913;Fizikai;for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium;18;Heike Kamerlingh Onnes;Heike Kamerlingh Onnes;Heike Kamerlingh Onnes;férfi;;1853-09-21;Európa;;;;Személy;Leiden University, Leiden, the Netherlands;;;
1913;Béke;for his unparalleled contribution to the organization of peaceful internationalism;481;Henri La Fontaine;Henri La Fontaine;Henri La Fontaine;férfi;;1854-04-22;Európa;;;;Személy;;;;
1913;Irodalmi;because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West;583;Rabindranath Tagore;Rabindranath Tagore;Rabindranath Tagore;férfi;;1861-05-07;Ázsia;;;;Személy;;;;
1914;Fizikai;for his discovery of the diffraction of X-rays by crystals;19;Max von Laue;Max von Laue;Max von Laue;férfi;;1879-10-09;Európa;;;;Személy;Frankfurt-on-the-Main University, Frankfurt-on-the-Main, Germany;;;
1914;Orvosi;for his work on the physiology and pathology of the vestibular apparatus;308;Robert Bárány;Robert Bárány;Robert Bárány;férfi;;1876-04-22;Európa;;;;Személy;Vienna University, Vienna, Austria;;;
1914;Kémiai;in recognition of his accurate determinations of the atomic weight of a large number of chemical elements;175;Theodore W. Richards;Theodore W. Richards;Theodore William Richards;férfi;;1868-01-31;Észak-Amerika;;;;Személy;Harvard University, Cambridge, MA, USA;;;
1915;Fizikai;for their services in the analysis of crystal structure by means of X-rays;21;Lawrence Bragg;Lawrence Bragg;William Lawrence Bragg;férfi;;1890-03-31;Óceánia;;;;Személy;Victoria University, Manchester, United Kingdom;;;
1915;Kémiai;for his researches on plant pigments, especially chlorophyll;176;Richard Willstätter;Richard Willstätter;Richard Martin Willstätter;férfi;;1872-08-13;Európa;;;;Személy;Munich University, Munich, Germany;;;
1915;Irodalmi;as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings;584;Romain Rolland;Romain Rolland;Romain Rolland;férfi;;1866-01-29;Európa;;;;Személy;;;;
1915;Fizikai;for their services in the analysis of crystal structure by means of X-rays;20;William Bragg;William Bragg;Sir William Henry Bragg;férfi;;1862-07-02;Európa;;;;Személy;University College, London, United Kingdom;;;
1916;Irodalmi;in recognition of his significance as the leading representative of a new era in our literature;585;Verner von Heidenstam;Verner von Heidenstam;Carl Gustaf Verner von Heidenstam;férfi;;1859-07-06;Európa;;;;Személy;;;;
1917;Fizikai;"for his discovery of the characteristic R&ouml;ntgen radiation of the elements";22;Charles Glover Barkla;Charles Glover Barkla;Charles Glover Barkla;férfi;;1877-06-07;Európa;;;;Személy;Edinburgh University, Edinburgh, United Kingdom;;;
1917;Irodalmi;for his authentic descriptions of present-day life in Denmark;587;Henrik Pontoppidan;Henrik Pontoppidan;Henrik Pontoppidan;férfi;;1857-07-24;Európa;;;;Személy;;;;
1917;Béke;for the efforts to take care of wounded soldiers and prisoners of war and their families;482;International Committee of the Red Cross;;;;;;;International Committee of the Red Cross;;1863;Szervezet;;;;
1917;Irodalmi;for his varied and rich poetry, which is inspired by lofty ideals;586;Karl Gjellerup;Karl Gjellerup;Karl Adolph Gjellerup;férfi;;1857-06-02;Európa;;;;Személy;;;;
1918;Kémiai;for the synthesis of ammonia from its elements;177;Fritz Haber;Fritz Haber;Fritz Haber;férfi;;1868-12-09;Európa;;;;Személy;Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie, Berlin-Dahlem, Germany;;;
1918;Fizikai;in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta;23;Max Planck;Max Planck;Max Karl Ernst Ludwig Planck;férfi;;1858-04-23;Európa;;;;Személy;Berlin University, Berlin, Germany;;;
1919;Irodalmi;in special appreciation of his epic, <I>Olympian Spring</I>;588;Carl Spitteler;Carl Spitteler;Carl Friedrich Georg Spitteler;férfi;;1845-04-24;Európa;;;;Személy;;;;
1919;Fizikai;for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields;24;Johannes Stark;Johannes Stark;Johannes Stark;férfi;;1874-04-15;Európa;;;;Személy;Greifswald University, Greifswald, Germany;;;
1919;Orvosi;for his discoveries relating to immunity;309;Jules Bordet;Jules Bordet;Jules Bordet;férfi;;1870-06-13;Európa;;;;Személy;Brussels University, Brussels, Belgium;;;
1919;Béke;for his role as founder of the League of Nations;483;Woodrow Wilson;Woodrow Wilson;Thomas Woodrow Wilson;férfi;;1856-12-28;Észak-Amerika;;;;Személy;;;;
1920;Orvosi;for his discovery of the capillary motor regulating mechanism;310;August Krogh;August Krogh;Schack August Steenberg Krogh;férfi;;1874-11-15;Európa;;;;Személy;Copenhagen University, Copenhagen, Denmark;;;
1920;Fizikai;in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys;25;Charles Edouard Guillaume;Charles Edouard Guillaume;Charles Edouard Guillaume;férfi;;1861-02-15;Európa;;;;Személy;Bureau International des Poids et Mesures (International Bureau of Weights and Measures), Sèvres, France;;;
1920;Irodalmi;for his monumental work, <I>Growth of the Soil</I>;589;Knut Hamsun;Knut Hamsun;Knut Pedersen Hamsun;férfi;;1859-08-04;Európa;;;;Személy;;;;
1920;Béke;for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations;484;Léon Bourgeois;Léon Bourgeois;Léon Victor Auguste Bourgeois;férfi;;1851-05-21;Európa;;;;Személy;;;;
1920;Kémiai;in recognition of his work in thermochemistry;178;Walther Nernst;Walther Nernst;Walther Hermann Nernst;férfi;;1864-06-25;Európa;;;;Személy;Berlin University, Berlin, Germany;;;
1921;Fizikai;for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect;26;Albert Einstein;Albert Einstein;Albert Einstein;férfi;;1879-03-14;Európa;;;;Személy;Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik, Berlin, Germany;;;
1921;Irodalmi;in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament;590;Anatole France;Anatole France;Anatole France;férfi;;1844-04-16;Európa;;;;Személy;;;;
1921;Béke;for their lifelong contributions to the cause of peace and organized internationalism;486;Christian Lange;Christian Lange;Christian Lous Lange;férfi;;1869-09-17;Európa;;;;Személy;;;;
1921;Kémiai;for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes;179;Frederick Soddy;Frederick Soddy;Frederick Soddy;férfi;;1877-09-02;Európa;;;;Személy;University of Oxford, Oxford, United Kingdom;;;
1921;Béke;for their lifelong contributions to the cause of peace and organized internationalism;485;Hjalmar Branting;Hjalmar Branting;Karl Hjalmar Branting;férfi;;1860-11-23;Európa;;;;Személy;;;;
1922;Orvosi;for his discovery relating to the production of heat in the muscle;311;Archibald V. Hill;Archibald V. Hill;Archibald Vivian Hill;férfi;;1886-09-26;Európa;;;;Személy;London University, London, United Kingdom;;;
1922;Kémiai;for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule;180;Francis W. Aston;Francis W. Aston;Francis William Aston;férfi;;1877-09-01;Európa;;;;Személy;University of Cambridge, Cambridge, United Kingdom;;;
1922;Béke;for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees;487;Fridtjof Nansen;Fridtjof Nansen;Fridtjof Nansen;férfi;;1861-10-10;Európa;;;;Személy;;;;
1922;Irodalmi;for the happy manner in which he has continued the illustrious traditions of the Spanish drama;592;Jacinto Benavente;Jacinto Benavente;Jacinto Benavente;férfi;;1866-08-12;Európa;;;;Személy;;;;
1922;Fizikai;for his services in the investigation of the structure of atoms and of the radiation emanating from them;27;Niels Bohr;Niels Bohr;Niels Henrik David Bohr;férfi;;1885-10-07;Európa;;;;Személy;Copenhagen University, Copenhagen, Denmark;;;
1922;Orvosi;for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle;312;Otto Meyerhof;Otto Meyerhof;Otto Fritz Meyerhof;férfi;;1884-04-12;Európa;;;;Személy;Kiel University, Kiel, Germany;;;
1923;Orvosi;for the discovery of insulin;313;Frederick G. Banting;Frederick G. Banting;Frederick Grant Banting;férfi;;1891-11-14;Észak-Amerika;;;;Személy;University of Toronto, Toronto, Canada;;;
1923;Kémiai;for his invention of the method of micro-analysis of organic substances;181;Fritz Pregl;Fritz Pregl;Fritz Pregl;férfi;;1869-09-03;Európa;;;;Személy;Graz University, Graz, Austria;;;
1923;Orvosi;for the discovery of insulin;314;John Macleod;John Macleod;John James Rickard Macleod;férfi;;1876-09-06;Európa;;;;Személy;University of Toronto, Toronto, Canada;;;
1923;Fizikai;for his work on the elementary charge of electricity and on the photoelectric effect;28;Robert A. Millikan;Robert A. Millikan;Robert Andrews Millikan;férfi;;1868-03-22;Észak-Amerika;;;;Személy;California Institute of Technology (Caltech), Pasadena, CA, USA;;;
1923;Irodalmi;for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation;593;William Butler Yeats;William Butler Yeats;William Butler Yeats;férfi;;1865-06-13;Európa;;;;Személy;;;;
1924;Fizikai;for his discoveries and research in the field of X-ray spectroscopy;29;Manne Siegbahn;Manne Siegbahn;Karl Manne Georg Siegbahn;férfi;;1886-12-03;Európa;;;;Személy;Uppsala University, Uppsala, Sweden;;;
