dal_azon;cim;hely_azon;hangszer1;hangszer2;hangszer3;hangszer4;hangszer5;hangszer6;hangszer7;hangszer8;mufaj1;mufaj2;mufaj3;mufaj4;tanc;felvetel_azon;youtube_id;kezdete;vege
27;aidinikos-choros;65;Voice;Violin;Guitar;Accordion;;;;;Traditional;Mikrasiatiko;;;0;27;vd8WTrc12Uo;1112;1291
28;ainte-min-to-vazeis-sto-gyali;11;Voice;;;;;;;;Traditional;Macedonian;Vlachic;;0;28;gMz1OBS9FlQ;5131;5172
29;ainte-mor-milia;12;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;29;UaYoyQPZEuo;4869;4972
30;ainte-mor-milia-sygkathistos;12;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;30;ifRo_Z05kuQ;5758;6159
31;ainte-oples-2;65;Voice;Violin;Percussion;Laouto;Klarino;Kanonaki;;;Traditional;Mikrasiatiko;;;1;31;kJl_glSyJMo;6470;6620
32;aintes-oples;13;Voice;Percussion;;;;;;;Traditional;Mikrasiatiko;;;1;32;-YUXPO1BSRw;3588;3783
33;aivali;14;Voice;;;;;;;;Traditional;Mikrasiatiko;;;1;33;-YUXPO1BSRw;5191;5281
34;aivaliotiko;;Voice;Tambouras;Percussion;Ney;Guitar;;;;Rebetiko;;;;0;34;XpfvGga-5tU;2173;2433
35;aivaliotiko-2;14;Violin;Laouto;;;;;;;Traditional;Mikrasiatiko;;;0;35;Zy8tjrTf4sg;591;792
36;aivaliotiko-zeibekiko;14;Percussion;Oud;Lyra;;;;;;Traditional;Mikrasiatiko;;;1;36;-YUXPO1BSRw;5449;5586
37;aivaliotiko-zeibekiko-2;14;Violin;Santouri;Laouto;;;;;;Traditional;Mikrasiatiko;;;1;37;jpktBKou-_E;5736;5863
38;aivaliotikos;14;Violin;Santouri;Laouto;Accordion;;;;;Traditional;Mikrasiatiko;;;1;38;Uijl65qxrrg;1128;1335
39;akomi-ena-potiraki;;Voice;Mandolin;Guitar;Bass;;;;;Urban-folk;Urban-light;;;0;39;GgGRYZMKezE;3084;3256
40;akrida;67;Voice;Violin;Laouto;Bass;;;;;Traditional;Nisiotiko;Aegean;;0;40;V-8YVU5FnTo;6315;6551
41;akrogialies-deilina;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Laiko;;;;0;41;tzCMruLs9bM;829;943
42;ala-routza-peismatika-disticha;6;Voice;Tsampouna;;;;;;;Traditional;Nisiotiko;Aegean;;0;42;-Lae0QmE15A;4865;5062
43;alabeis;15;Violin;Percussion;Laouto;Klarino;Guitar;;;;Traditional;Epirotic;;;0;43;GIOAt5GHt3I;2219;2460
44;alatsatiani;13;Voice;Percussion;Oud;Lyra;;;;;Traditional;Mikrasiatiko;;;1;44;-YUXPO1BSRw;4650;4892
45;alatsatiani-2;65;Voice;Violin;Percussion;Laouto;Klarino;Kanonaki;;;Traditional;Mikrasiatiko;;;1;45;kJl_glSyJMo;4953;5110
46;alexandra;16;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;0;46;qrOwc1mLFUk;749;927
47;alexandriani-felacha;65;Voice;Percussion;Oud;Lyra;;;;;Urban-folk;Mikrasiatiko;;;0;47;-YUXPO1BSRw;4515;4632
48;alfavitari-tis-agapis;70;Voice;Violin;Mandolin;Laouto;Guitar;;;;Traditional;Nisiotiko;Ionian;;1;48;Aws0Y3aLaIs;3891;4049
49;ali-pasas;13;Voice;Violin;Guitar;Cimbalom;Bass;Accordion;;;Traditional;Mikrasiatiko;;;0;49;TpK-XXFl51o;5348;5603
50;alismono-kai-chairomai;71;Voice;;;;;;;;Traditional;Epirotic;Polyphonic;;0;50;KzKkszPd-eM;1599;1762
51;aliti-m-eipes-mia-vradia;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Rebetiko;;;;0;51;YEPmaDr_UMA;5386;5566
52;allotines-mou-epohes;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;0;52;vl46xtCpsEw;5585;5735
53;alvania;17;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Epirotic;;;1;53;UaYoyQPZEuo;3497;3585
54;aman-katerina-mou;13;Voice;Violin;Santouri;Percussion;Oud;Guitar;;;Traditional;Mikrasiatiko;;;1;54;5fJXkyrSxo4;3997;4208
55;aman-ntoktor;65;Violin;Percussion;Oud;Guitar;Bass;;;;Traditional;Mikrasiatiko;;;0;55;g4hypPA6D9Y;1402;1652
56;amanes;67;Voice;Oud;;;;;;;Traditional;Nisiotiko;Aegean;;0;56;mp1pK6b1Oho;5213;5386
57;amanes-2;65;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Traditional;Mikrasiatiko;;;0;57;YEPmaDr_UMA;6235;6495
58;amanes-3;65;Voice;Violin;Tambouras;Percussion;Ney;Laouto;Bass;;Traditional;Mikrasiatiko;;;0;58;vzCauXf6VhE;4195;4410
59;amanes-4;65;Voice;Violin;Tambouras;Santouri;Percussion;Oud;Klarino;;Traditional;Mikrasiatiko;;;0;59;kJl_glSyJMo;3159;3423
60;amanes-5;67;Voice;Violin;Santouri;Laouto;;;;;Traditional;Nisiotiko;Aegean;;0;60;CPLOoAZonTI;2101;2257
61;amanes-6;65;Voice;Violin;Percussion;Klarino;Guitar;;;;Traditional;Mikrasiatiko;;;0;61;vJ4F64WkQA0;1285;1568
62;amanes-otan-tis-nychtes-perpato;65;Voice;Oud;;;;;;;Traditional;Mikrasiatiko;;;0;62;-YUXPO1BSRw;4414;4515
63;amanes-paraponiara-mou-kardia;65;Voice;Percussion;Oud;;;;;;Traditional;Mikrasiatiko;;;0;63;-YUXPO1BSRw;828;1095
64;amarantos-vasilis-saleas;63;Violin;Percussion;Laouto;Klarino;Guitar;;;;Traditional;Central-Greek;;;1;64;G9DwnuVgsVs;5693;5844
65;amariotikes-kontylies-pentozalis;72;Voice;Lyra;Laouto;;;;;;Traditional;Nisiotiko;Cretan;;1;65;4mMJSlECbh4;4126;4412
66;amorgiano;18;Voice;Violin;Santouri;Laouto;;;;;Traditional;Nisiotiko;Aegean;;1;66;CPLOoAZonTI;2658;2912
67;amygdalaki-tsakisa;67;Voice;Violin;Santouri;Percussion;Laouto;Klarino;Guitar;;Traditional;Nisiotiko;Aegean;;1;67;5z-ZGft2zCI;5418;5487
68;amygdalo-etsakisa-lesvos;2;Voice;Violin;Santouri;Percussion;Laouto;Klarino;;;Traditional;Nisiotiko;Aegean;;1;68;U6oWHEVNvfY;5009;5142
69;an-den-pernas-ki-an-den-pernas;19;Voice;Violin;Santouri;Percussion;Oud;Kanonaki;;;Traditional;Mikrasiatiko;Politiko;;1;69;5fJXkyrSxo4;3032;3219
70;an-einai-i-agapi-eglima;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;0;70;vl46xtCpsEw;4123;4262
71;an-imoun-antras;;Voice;Violin;Santouri;Percussion;Laouto;Guitar;;;Rebetiko;;;;0;71;0cj8BNcAhg4;4088;4313
72;anapli-gia-de-chairesai-kalamatianos;69;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Peloponnesian;;;1;72;4yPS8r0qVTw;4491;4696
73;anastasia-kalamatianos;6;Voice;Violin;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;73;-Lae0QmE15A;2728;2928
74;anastasouda-xesyrtos;62;Voice;Violin;Percussion;Laouto;Klarino;Kanonaki;;;Traditional;Thracian;;;1;74;vLTBEHw011s;656;847
75;anathema-ton-aitio;2;Voice;;;;;;;;Traditional;Nisiotiko;Aegean;;0;75;mp1pK6b1Oho;423;657
76;anathema-ton-chrysiko;20;Voice;;;;;;;;Traditional;Peloponnesian;;;0;76;6bLFhgwoKsY;48;136
77;andra-mou-paei;66;Voice;Violin;Mandolin;Guitar;Accordion;;;;Traditional;Southern-Italian;Polyphonic;;0;77;l2gUntzxeVc;3622;3937
78;andriana;;Voice;Violin;Percussion;Klarino;Guitar;Accordion;;;Urban-folk;;;;0;78;vJ4F64WkQA0;261;412
79;aneforitsa;73;Voice;Percussion;Lyra;Laouto;;;;;Traditional;Pontian;;;1;79;VmaUraZpvI8;656;792
80;aneforitssa;73;Voice;Percussion;Lyra;;;;;;Traditional;Pontian;;;1;80;LL6pe_UtAe0;5181;5300
81;anemologio;;Voice;Piano;Electric-guitar;Bass;;;;;Newer;Melodized-poetry;;;0;81;cKXi8_5_Rd4;5112;5398
82;anestaki;;Voice;Guitar;Bouzouki;Bass;Baglamas;Accordion;;;Laiko;;;;0;82;ysRZQuuew_A;5916;6103
83;anevase-me-mana-mou-siganos;5;Voice;Tsampouna;Percussion;;;;;;Traditional;Nisiotiko;Aegean;;1;83;_mUIVNdIJFU;5095;5192
84;anevika-sti-piperia;;Voice;Percussion;Guitar;Bouzouki;Bass;Accordion;;;Traditional;;;;1;84;pxhw04LZhiY;3658;3883
85;angelokamomeni-mou;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Rebetiko;;;;0;85;YEPmaDr_UMA;5026;5215
86;anoixan-ta-dentra-oula;64;Voice;Violin;Percussion;Laouto;Klarino;Guitar;;;Traditional;Macedonian;;;1;86;5z-ZGft2zCI;3070;3153
87;anoixi-bainei-sto-chorio;72;Voice;Percussion;Lyra;Laouto;Guitar;Bass;;;Traditional;Nisiotiko;Cretan;;1;87;lBs4PyiRsIY;4928;5136
88;antra-mou-paei;66;Voice;Mandolin;Guitar;Bass;Accordion;;;;Traditional;Southern-Italian;;;0;88;fooYiNew79E;5331;5538
89;ap-tis-zeas-to-limani;;Voice;Guitar;Bouzouki;Baglamas;;;;;Rebetiko;;;;0;89;IzjFkYASGbY;3645;3857
90;apan-kat;63;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Central-Greek;;;1;90;00SbCAkyXhQ;479;713
91;apano-stin-triantafyllia-2;21;Voice;Violin;Klarino;;;;;;Traditional;Macedonian;;;0;91;U6oWHEVNvfY;991;1107
92;apisomeritikos;22;Voice;Violin;Percussion;Laouto;Bass;;;;Traditional;Nisiotiko;Aegean;;1;92;V-8YVU5FnTo;2696;2931
93;apo-ta-glyka-sou-matia;19;Voice;Violin;Santouri;Percussion;Oud;Kanonaki;;;Traditional;Mikrasiatiko;Politiko;;1;93;5fJXkyrSxo4;2351;2654
94;apo-ta-glyka-sou-matia-2;13;Voice;Violin;Santouri;Percussion;Oud;Kanonaki;;;Traditional;Mikrasiatiko;;;1;94;5fJXkyrSxo4;4413;4629
95;apo-tin-athina-os-ton-peiraia;67;Voice;Tsampouna;Santouri;Percussion;Laouto;;;;Traditional;Nisiotiko;Aegean;;1;95;U6oWHEVNvfY;2842;2994
96;apo-tin-patra-erchomai;69;Voice;Violin;Percussion;Laouto;Klarino;Floghera;;;Traditional;Peloponnesian;;;1;96;6bLFhgwoKsY;3940;4105
97;apo-tin-prousa-kinisa-zonaradikos;62;Voice;Violin;Percussion;Laouto;Klarino;Kanonaki;;;Traditional;Thracian;;;1;97;vLTBEHw011s;345;569
98;apo-to-chorio-erchomin;;Voice;Violin;Guitar;Accordion;;;;;Urban-folk;Urban-light;;;0;98;vJ4F64WkQA0;2108;2188
99;apo-xeno-topo-syrtos;13;Voice;Percussion;Oud;;;;;;Traditional;Mikrasiatiko;;;0;99;-YUXPO1BSRw;43;240
100;apochairetismos;;Voice;Piano;Percussion;Ney;Laouto;Guitar;Bass;;Newer;;;;0;100;lBs4PyiRsIY;2523;2728
101;apopse-eisai-gia-fili;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Laiko;;;;0;101;zkoqg3VRVLA;42;300
102;apopse-i-poulia-malone;63;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Central-Greek;;;1;102;00SbCAkyXhQ;5108;5471
103;apopse-kaneis-bam;;Voice;Percussion;Guitar;Bouzouki;Bass;Accordion;;;Laiko;;;;1;103;pxhw04LZhiY;6047;6214
104;apopse-kerna-me;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;0;104;GgGRYZMKezE;5892;6098
105;apopse-sti-mikri-ti-geitonia-sou;;Voice;Guitar;;;;;;;Urban-folk;Urban-light;;;0;105;vd8WTrc12Uo;2862;3037
106;apopse-sto-diko-sou-machala;;Voice;Percussion;Guitar;Bouzouki;Bass;Accordion;;;Rebetiko;;;;1;106;pxhw04LZhiY;553;749
107;apopse-sto-diko-sou-mahala;;Voice;Percussion;Oud;Ney;Lyra;Kanonaki;Bass;;Rebetiko;Arrangement;;;0;107;Dd0IreIlLJE;4811;4947
108;apopse-sto-spitaki-mou;;Voice;;;;;;;;Traditional;Sarakatsani;;;0;108;FXS9jCtkFLk;399;533
109;apopse-ta-matakia-sou-kathistiko;12;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;Vlachic;;0;109;wFOvhBpFM1o;5521;5742
110;apopse-ta-mesanychta;74;Voice;Violin;Santouri;Percussion;Laouto;Klarino;;;Traditional;Nisiotiko;Euboean;;1;110;ozHAP8gMIY8;2699;2959
111;apopse-tha-rtho-na-sta-psallo;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Rebetiko;;;;0;111;YEPmaDr_UMA;1806;2005
112;apopse-tin-kithara-mou-eptanisiaki-kantada;23;Voice;Violin;Mandolin;Laouto;Guitar;;;;Traditional;Nisiotiko;Ionian;;0;112;Aws0Y3aLaIs;2933;3208
113;apouthe-vgainei-to-nero;;Voice;Violin;Santouri;Percussion;Laouto;Klarino;;;Traditional;Sarakatsani;;;1;113;cYE9_TXCmHs;1522;1785
114;aprili-m-drosere;63;Voice;Violin;Santouri;Percussion;Laouto;Klarino;Guitar;;Traditional;Central-Greek;;;1;114;5z-ZGft2zCI;948;1190
115;aptaliko;65;Violin;Oud;;;;;;;Traditional;Mikrasiatiko;;;0;115;g4hypPA6D9Y;1123;1197
116;aptaliko-2;67;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Traditional;Nisiotiko;Aegean;;1;116;q9e6UQh6d0c;4610;4816
117;aptalikos;65;Voice;Violin;Santouri;Percussion;Laouto;Klarino;Guitar;;Traditional;Mikrasiatiko;;;1;117;5z-ZGft2zCI;5545;5675
118;aptalikos-3;24;Violin;Laouto;Guitar;;;;;;Traditional;Nisiotiko;Aegean;;1;118;Uijl65qxrrg;2311;2507
119;arachova-salona;63;Violin;Percussion;Laouto;Klarino;Guitar;;;;Traditional;Central-Greek;;;1;119;G9DwnuVgsVs;6210;6285
120;aradeo;66;Voice;Percussion;Guitar;Bass;Accordion;;;;Traditional;Southern-Italian;;;1;120;fooYiNew79E;5786;6072
121;arakne-tarantela;66;Voice;Percussion;Mandolin;Guitar;;;;;Traditional;Southern-Italian;;;1;121;l2gUntzxeVc;2523;2780
122;arap-saz-semaisi;65;Percussion;Oud;Klarino;Guitar;Bass;;;;Traditional;Mikrasiatiko;;;0;122;g4hypPA6D9Y;3601;3726
123;arap-sousta;5;Violin;Percussion;Oud;Klarino;Kanonaki;;;;Traditional;Nisiotiko;Aegean;;1;123;J-PqcxTXtp4;4464;4716
124;arap-sousta-amorgou;18;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;0;124;jpktBKou-_E;746;780
125;arapiko-louloudi;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Rebetiko;;;;0;125;tzCMruLs9bM;447;644
126;archangelitikos;25;Voice;Lyra;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;0;126;4mMJSlECbh4;3328;3611
127;archangelitikos-rodos;25;Voice;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;0;127;U6oWHEVNvfY;3319;3539
128;are-mou-ridineddha;66;Voice;Percussion;Mandolin;Guitar;Bass;Accordion;;;Traditional;Southern-Italian;Polyphonic;;0;128;k_U5rTSHIMo;43;341
129;are-mou-rindineddha-mou;66;Voice;Violin;Mandolin;Guitar;Accordion;;;;Traditional;Southern-Italian;Polyphonic;;1;129;l2gUntzxeVc;44;254
130;arga-einai-pia-arga;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;0;130;vl46xtCpsEw;5353;5554
131;argon-tik;73;Percussion;Lyra;;;;;;;Traditional;Pontian;;;1;131;VmaUraZpvI8;2838;2993
132;argyroula;69;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Peloponnesian;;;1;132;6bLFhgwoKsY;5108;5226
133;aristeidis;63;Voice;Violin;Percussion;Laouto;Klarino;Guitar;;;Traditional;Central-Greek;Arvanitic;;1;133;GIOAt5GHt3I;5831;5963
134;arkadiani;26;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Peloponnesian;;;0;134;4yPS8r0qVTw;5353;5496
135;arkadiani-2;26;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Peloponnesian;;;1;135;o4XzhbCL0QM;4455;4654
136;armenaki;;Voice;Violin;Percussion;Ney;Laouto;Bass;;;Newer;;;;0;136;V-8YVU5FnTo;1889;2140
137;aroma;72;Voice;;;;;;;;Traditional;Nisiotiko;Cretan;;0;137;fooYiNew79E;3353;3453
138;arrostisa-sta-xena-makria-sou;;Voice;Guitar;Bouzouki;Bass;Baglamas;Accordion;;;Rebetiko;;;;0;138;ysRZQuuew_A;1571;1785
139;arrostisa-sta-xena-markos-vamvakaris;;Voice;Guitar;Bouzouki;Baglamas;Accordion;;;;Rebetiko;;;;0;139;L3fe3KGksU8;2484;2674
140;artemonas;8;Voice;Violin;Santouri;Percussion;Laouto;Guitar;;;Traditional;Nisiotiko;Aegean;;1;140;5z-ZGft2zCI;3960;4074
141;artemonas-2;8;Voice;Violin;Laouto;Bass;;;;;Traditional;Nisiotiko;Aegean;;0;141;V-8YVU5FnTo;5169;5318
142;arvanitiko;63;Violin;Percussion;Laouto;;;;;;Traditional;Central-Greek;Arvanitic;;1;142;8gH9iexkXME;4347;4489
143;arvanitiko-2;71;Violin;Percussion;Laouto;Klarino;;;;;Traditional;Epirotic;Arvanitic;;0;143;ifRo_Z05kuQ;1329;1515
144;arvanitovlachiko;12;Violin;Percussion;Laouto;;;;;;Traditional;Epirotic;Arvanitic;Vlachic;0;144;EoJoqvZukgw;4966;5108
145;arvanitovlachiko-vaios-malliaras;12;Violin;Percussion;Laouto;Klarino;Guitar;;;;Traditional;Epirotic;Arvanitic;Vlachic;1;145;G9DwnuVgsVs;1839;1931
146;as-chamilonan-ta-vouna-2;64;Voice;Violin;Percussion;Laouto;Klarino;Guitar;;;Traditional;Macedonian;;;1;146;5z-ZGft2zCI;2945;3069
147;as-to-cheraki-sou;;Voice;Guitar;Bass;Accordion;;;;;Newer;Urban-light;;;0;147;VrnG_gxNwH8;6011;6320
148;as-tragoudiso-ki-as-charo;1;Voice;Violin;Santouri;Laouto;;;;;Traditional;Nisiotiko;Aegean;;0;148;Zy8tjrTf4sg;4174;4338
149;as-vastaxei-aftos-o-balos;65;Voice;Violin;Santouri;Laouto;Bass;;;;Traditional;Mikrasiatiko;;;1;149;q9e6UQh6d0c;796;909
150;asimenia-alysida;17;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;150;ifRo_Z05kuQ;2596;2716
151;aska-kaleddha-mou-2;66;Voice;Violin;Guitar;;;;;;Traditional;Southern-Italian;;;1;151;l2gUntzxeVc;1133;1330
152;aspra-mou-poulia;;Voice;;;;;;;;Traditional;Sarakatsani;;;0;152;FXS9jCtkFLk;600;738
153;aspra-mou-poulia-2;71;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;153;8gH9iexkXME;4488;4732
154;aspro-garoufalaki-mou;2;Voice;Violin;Santouri;Guitar;;;;;Traditional;Nisiotiko;Aegean;;1;154;EoJoqvZukgw;3035;3254
155;aspro-mou-triantafyllaki-2;67;Voice;Violin;Laouto;Bass;;;;;Traditional;Nisiotiko;Aegean;;0;155;V-8YVU5FnTo;4725;4803
156;asta-ta-mallakia-sou;;Voice;Violin;Piano;Guitar;Bass;Accordion;;;Urban-folk;Urban-light;;;0;156;Desg3iWdxGU;2585;2822
157;astasiara-nou-ntournii-apopse-den-koimithika-metsovitikos;12;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;Vlachic;;1;157;wFOvhBpFM1o;2717;2925
158;astero;;Voice;Guitar;Bouzouki;;;;;;Rebetiko;;;;0;158;vd8WTrc12Uo;6435;6617
159;ataris;13;Voice;Percussion;Oud;Lyra;;;;;Traditional;Mikrasiatiko;;;1;159;-YUXPO1BSRw;2747;2921
160;ateleioto;;Piano;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;0;160;zkoqg3VRVLA;5995;6073
161;atsapat-serra;73;Percussion;Lyra;;;;;;;Traditional;Pontian;;;1;161;VmaUraZpvI8;5956;6237
162;attaris-alatsata-m-asias;65;Voice;Violin;Percussion;Laouto;Klarino;Kanonaki;;;Traditional;Mikrasiatiko;;;1;162;kJl_glSyJMo;5929;6105
163;atzidies;22;Violin;Laouto;;;;;;;Traditional;Nisiotiko;Aegean;;0;163;guoEekslQ2M;4599;4761
164;aziza;75;Violin;Percussion;Oud;Klarino;Guitar;Bass;;;Traditional;Arabic;;;0;164;g4hypPA6D9Y;3178;3368
165;aziza-2;75;Voice;Percussion;Oud;Ney;Kanonaki;Bass;;;Traditional;Arabic;;;0;165;k_U5rTSHIMo;3272;3505
166;azizie;67;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;166;EoJoqvZukgw;1121;1394
167;babessa;;Voice;Violin;Santouri;Percussion;Laouto;Guitar;;;Rebetiko;;;;1;167;0cj8BNcAhg4;2370;2556
168;baino-mes-st-abeli-berati;68;Voice;Violin;Percussion;Laouto;;;;;Traditional;Thessalic;;;1;168;5z-ZGft2zCI;2537;2657
169;baintouska-thraki;62;Violin;Percussion;Ney;Laouto;Bass;;;;Traditional;Thracian;;;1;169;V-8YVU5FnTo;571;788
170;bairatse;27;Trumpet;Trombone;Percussion;Klarino;Accordion;;;;Traditional;Macedonian;;;1;170;dIqJ-N3_Tso;964;1167
171;balaristos-mykonou;28;Tsampouna;Percussion;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;171;5z-ZGft2zCI;4660;4822
172;balatsos;29;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;1;172;niplI7Bv-30;5119;5420
173;baletes;4;Violin;Guitar;Accordion;;;;;;Traditional;Nisiotiko;Ionian;;1;173;t60GoECE0p8;5501;5588
174;balos;74;Violin;Santouri;Percussion;Laouto;Klarino;Guitar;;;Traditional;Nisiotiko;Euboean;;1;174;ozHAP8gMIY8;4817;4964
175;balos-2;67;Violin;Santouri;Percussion;Laouto;Guitar;;;;Traditional;Nisiotiko;Aegean;;1;175;5z-ZGft2zCI;4074;4238
176;balos-3;67;Voice;Violin;Santouri;Percussion;Laouto;Klarino;Guitar;;Traditional;Nisiotiko;Aegean;;1;176;5z-ZGft2zCI;5487;5541
177;balos-4;67;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;177;jpktBKou-_E;2966;3245
178;balos-5;67;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;178;jpktBKou-_E;4443;4542
179;balos-6;30;Violin;Santouri;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;1;179;jpktBKou-_E;6195;6230
180;balos-7;67;Voice;Violin;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;0;180;guoEekslQ2M;4258;4403
