Dátum	Összes fogyasztás	Ebből elvitelre	ÁFA-tartalom	ÁFA-becslés 2018	Milyen napra esett?
április 4.	1524390	545470			
április 5.	1351856	449421			
április 6.	1346943	516703			
április 7.	2016927	1150698			
április 8.	2512648	589402			
április 9.	2205030	485386			
április 10.	1904119	787965			
április 11.	1513143	777352			
április 12.	1352016	455056			
április 13.	1381754	538608			
április 14.	2084600	1193649			
április 15.	2635192	625627			
április 16.	2128903	465093			
április 17.	1913681	781053			
április 18.	1450850	508856			
április 19.	1362126	478760			
április 20.	1370177	535836			
április 21.	2133962	1180964			
április 22.	2617593	607568			
április 23.	2206804	476034			
április 24.	1881761	800338			
április 25.	1520039	559522			
április 26.	1328131	464814			
április 27.	1338855	511281			
április 28.	2048637	1154119			
április 29.	2490986	600608			
április 30.	2223718	486537			
május 1.	1881505	766230			
május 2.	1461270	516087			
május 3.	1388277	463631			
május 4.	1412792	568785			
május 5.	2063597	1176024			
május 6.	2622862	615101			
május 7.	2182491	1098567			
május 8.	1952468	787581			
május 9.	1474403	526309			
május 10.	1370184	459131			
május 11.	1380084	539302			
május 12.	2055900	1134198			
május 13.	2478356	570622			
május 14.	2129613	461067			
május 15.	1913637	793313			
május 16.	1450681	511908			
május 17.	1390561	480625			
május 18.	1401756	553636			
május 19.	2124922	1167100			
május 20.	2510341	610522			
május 21.	2165043	479843			
május 22.	1863836	751671			
május 23.	1511984	551136			
május 24.	1347415	466928			
május 25.	1369573	533654			
május 26.	2074874	1126804			
május 27.	2613976	610937			
május 28.	2188514	471191			
május 29.	1878123	759002			
május 30.	1525636	555701			
május 31.	1405097	481996			
június 1.	1397824	539624			
június 2.	2066361	1135190			
június 3.	2633749	612482			
június 4.	2239638	491612			
június 5.	1893803	773449			
június 6.	1473138	525716			
június 7.	1361149	466959			
június 8.	1350723	542029			
június 9.	2053364	1158563			
június 10.	2525776	1300120			
június 11.	2206169	478799			
június 12.	1922203	788254			
június 13.	1530968	565422			
június 14.	1380842	471003			
június 15.	1386665	541472			
június 16.	2061726	1151240			
június 17.	2613642	618813			
június 18.	2131698	458054			
június 19.	1889928	777022			
június 20.	1522813	540919			
június 21.	1386303	471819			
június 22.	1341726	515456			
június 23.	2070540	1161543			
június 24.	2527714	586215			
június 25.	2168875	468034			
június 26.	1933557	780770			
június 27.	1517502	558919			
június 28.	1336213	448131			
június 29.	1370720	524220			
június 30.	2055880	1154947			
július 1.	2549373	587895			
július 2.	2255158	481400			
július 3.	1885672	783494			
július 4.	1467783	519258			
július 5.	1343861	462202			
július 6.	1335855	540922			
július 7.	2108874	1153143			
július 8.	2527349	611421			
július 9.	2221546	470846			
július 10.	1894087	772901			
július 11.	1522359	560825			
július 12.	1389336	471589			
július 13.	1359553	538546			
július 14.	2085124	1152392			
július 15.	2628021	636608			
július 16.	2137864	461849			
július 17.	1942691	795019			
július 18.	1448371	518261			
július 19.	1355772	469963			
július 20.	1359160	538631			
július 21.	2002682	1143879			
július 22.	2564673	611616			
július 23.	2144557	468941			
július 24.	1873047	759268			
július 25.	1481842	527501			
július 26.	1409681	484074			
július 27.	1374027	524064			
július 28.	2040269	1152072			
július 29.	2526316	603192			
július 30.	2185009	467092			
július 31.	1911667	770628			
augusztus 1.	1480816	542146			
augusztus 2.	1365100	452329			
augusztus 3.	1343131	513761			
augusztus 4.	2113964	1196335			
augusztus 5.	2637572	614884			
augusztus 6.	2238793	485010			
augusztus 7.	1906240	797853			
augusztus 8.	1457644	531387			
augusztus 9.	1368838	473956			
augusztus 10.	1394062	538496			
augusztus 11.	2120126	1214494			
augusztus 12.	2508468	605227			
augusztus 13.	2144080	461217			
augusztus 14.	1869399	768109			
augusztus 15.	1505225	557329			
augusztus 16.	1407930	490051			
augusztus 17.	1355960	529814			
augusztus 18.	2032271	1114063			
augusztus 19.	2548498	615935			
augusztus 20.	2158797	477152			
augusztus 21.	1878131	771593			
augusztus 22.	1459931	520292			
augusztus 23.	1371489	463265			
augusztus 24.	1362450	545985			
augusztus 25.	2108673	1143812			
augusztus 26.	2585269	624488			
augusztus 27.	2149951	467700			
augusztus 28.	1855533	761026			
augusztus 29.	1490409	524814			
augusztus 30.	1402943	468364			
augusztus 31.	1345308	545048			
szeptember 1.	2128373	1197848			
szeptember 2.	2606331	619480			
szeptember 3.	2260935	488407			
szeptember 4.	1872138	796263			
szeptember 5.	1456280	523552			
szeptember 6.	1377998	479243			
szeptember 7.	1343886	522750			
szeptember 8.	2077099	1121679			
szeptember 9.	2484201	575373			
szeptember 10.	2176345	471987			
szeptember 11.	1931688	792896			
szeptember 12.	1486624	547803			
szeptember 13.	1391074	466556			
szeptember 14.	1338972	520681			
szeptember 15.	2045981	1164294			
szeptember 16.	2568382	629317			
szeptember 17.	2179300	479203			
szeptember 18.	1843159	756676			
szeptember 19.	1462888	542320			
szeptember 20.	1344279	447387			
szeptember 21.	1345886	524892			
szeptember 22.	2030504	1158548			
szeptember 23.	2496342	592319			
szeptember 24.	2241740	477271			
szeptember 25.	1922613	806057			
szeptember 26.	1478363	549934			
szeptember 27.	1408622	490227			
szeptember 28.	1338150	533608			
szeptember 29.	2010694	1089413			
szeptember 30.	2557285	625715			
október 1.	2203665	462947			
október 2.	1849543	747510			
október 3.	1486829	532852			
október 4.	1353937	474962			
október 5.	1416686	568775			
október 6.	2037874	1124121			
október 7.	2611069	623797			
október 8.	2175672	466116			
október 9.	1960528	823426			
október 10.	1464724	520256			
október 11.	1387828	470438			
október 12.	1386738	551866			
október 13.	2116924	1166634			
október 14.	2543436	590789			
október 15.	2230033	493865			
október 16.	1919646	800930			
október 17.	1527307	561447			
október 18.	1398982	482283			
október 19.	1333752	513899			
október 20.	2022902	1124553			
október 21.	2566794	613258			
október 22.	2172845	462580			
október 23.	1945729	790803			
október 24.	1462005	514056			
október 25.	1648301	451521			
október 26.	1509066	566925			
október 27.	2134249	1198991			
október 28.	2221414	612735			
október 29.	2191073	490486			
október 30.	1843867	751474			
október 31.	1501491	527593			
november 1.	1386597	474481			
november 2.	1330681	524735			
november 3.	2006716	1119353			
november 4.	2531162	603559			
november 5.	2162494	456972			
november 6.	1943567	822114			
november 7.	1487311	526964			
november 8.	1333381	449039			
november 9.	1412822	558658			
november 10.	1710300	1181433			
november 11.	2129761	606426			
november 12.	2219933	495592			
november 13.	1958414	835215			
november 14.	1448321	536501			
november 15.	1355380	447500			
november 16.	1390001	557821			
november 17.	2106588	1152354			
november 18.	2491232	575955			
november 19.	2185577	479640			
november 20.	1856471	767225			
november 21.	1447173	510871			
november 22.	1390189	487257			
november 23.	1385665	541459			
november 24.	2050064	1176834			
november 25.	2496302	603197			
november 26.	2150375	466645			
november 27.	1935535	775168			
november 28.	1503939	527206			
november 29.	1331354	468337			
november 30.	1334396	516237			
december 1.	2087650	1198806			
december 2.	2584449	629363			
december 3.	2247802	481446			
december 4.	1863012	763035			
december 5.	1538588	562200			
december 6.	1379819	479117			
december 7.	1377131	539979			
december 8.	2037160	1111785			
december 9.	2518806	589770			
december 10.	2177599	484571			
december 11.	1899532	798328			
december 12.	1456020	532279			
december 13.	1401815	485830			
december 14.	1391962	556263			
december 15.	2095843	1195252			
december 16.	2526977	602925			
december 17.	2251864	494100			
december 18.	1943978	815354			
december 19.	1537672	543611			
december 20.	1339789	458657			
december 21.	1337247	525076			
december 22.	2034448	1103772			
december 23.	2568282	620423			
december 24.	2129243	467005			
december 25.	1871616	784234			
december 26.	1471482	539495			
december 27.	1339128	450458			
december 28.	1330090	522590			
december 29.	2070383	1166464			
december 30.	2488027	589152			
december 31.	2171325	458367			
