Elem	Vegyjel	Rendszám	Atomtömeg	Sűrűség	Olvadáspont	Forráspont	Izotópok száma	Felfedező	Felfedezés éve
  Francium	Fr	87	223	-2,48	8	617	21	Perey	1938
  Gadolínium	Gd	64	157,25	7,9	1312	3273	17	Marignac	1880
  Gallium	Ga	31	69,723	5,91	29,9146	2400	14	Boisbaudran	1875
  Germánium	Ge	32	72,63	5,323	938,4	2833	17	Winkler	1886
  Hafnium	Hf	72	178,49	13,31	2233	4603	17	Coster and von Hevesy	1923
  Hassium	Hs	108	269	28	-	-	-	Armbruster and Münzenberg	1983
  Hélium	He	2	4,0026	0,0001785	-272,2	-268,78	5	Janssen	1868
  Hidrogén	H	1	1,008	0,00008988	-258,99	-252,72	3	Cavendish	1766
  Higany	Hg	80	200,59	13,534	-38,57	356,88	26	-	-
  Holmium	Ho	67	164,93	8,79	1461	2720	29	Delafontaine and Soret	1878
  Indium	In	49	114,82	7,31	156,75	2072	34	Reich and Richter	1863
  Irídium	Ir	77	192,22	22,56	2446	4428	25	Tennant	1803
  Itterbium	Yb	70	173,05	6,9	824	1196	16	Marignac	1878
  Ittrium	Y	39	88,906	4,472	1526	3336	21	Gadolin	1794
  Jód	I	53	126,9	4,933	113,85	184,4	24	Cortois	1811
  Kadmium	Cd	48	112,41	8,65	321,22	767	22	Stromeyer	1817
  Kalcium	Ca	20	40,078	1,55	842	1484	14	Davy	1808
  Kalifornium	Cf	98	251	15,1	900	1470	123	Seaborg et al.	1950
  Kálium	K	19	39,098	0,89	63,53	759	10	Davy	1807
  Kén	S	16	32,06	2,07	115,36	444,87	10	-	-
  Klór	Cl	17	35,45	0,0032	-101,4	-33,89	11	Scheele	1774
  Kobalt	Co	27	58,933	8,9	1495	2927	14	Brandt	c,1735
  Kripton	Kr	36	83,798	0,003749	-157,21	-153,07	23	Ramsay and Travers	1898
  Króm	Cr	24	51,996	7,15	1907	2671	9	Vauquelin	1797
  Kűrium	Cm	96	247	13,51	1340	3110	133	Seaborg et al,	1944
  Lantán	La	57	138,91	6,162	920	3464	19	Mosander	1839
  Laurencium	Lr	103	266	-14,4	-2173	-	203	Ghiorso et al,	1961
  Lítium	Li	3	6,94	0,534	180,69	1287	5	Arfvedson	1817
  Lutécium	Lu	71	174,97	9,841	1652	3402	22	Urbain	1907
  Magnézium	Mg	12	24,305	1,738	650	1090	8	Black	1755
  Mangán	Mn	25	54,938	7,21	1246	2061	11	Gahn, Scheele, and	1774
									Bergman	
  Meitnerium	Mt	109	278	27,5	-	-	-	GSI, Darmstadt, West Germany	1982
  Mendelévium	Md	101	258	-10,3	-1373	-	33	Ghiorso et al,	1955
  Molibdén	Mo	42	95,95	10,28	2623	4639	20	Scheele	1778
  Nátrium	Na	11	22,99	0,968	97,87	883	7	Davy	1807
  Neodímium	Nd	60	144,24	7,01	1024	3074	16	von Welsbach	1885
  Neon	Ne	10	20,18	0,0009002	-248,44	-245,93	8	Ramsay and Travers	1898
  Neptúnium	Np	93	237	20,45	644	4000	153	McMillan and Abelson	1940
  Nikkel	Ni	28	58,693	8,908	1455	2913	11	Cronstedt	1751
  Nióbium	Nb	41	92,906	8,57	2477	4744	24	Hatchett	1801
  Nitrogén	N	7	14,007	0,0012506	-209,85	-195,64	8	Rutherford	1772
  Nobélium	No	102	259	-9,9	-1373	-	73	Ghiorso et al,	1957
  Ólom	Pb	82	207,2	11,34	327,61	1749	29	-	-
  Ón	Sn	50	118,71	7,265	232,08	2602	28	-	-
  Oxigén	O	8	15,999	0,001429	-218,64	-182,8	8	Priestley	1774
  Ozmium	Os	76	190,23	22,59	3033	5012	19	Tennant	1803
  Palládium	Pd	46	106,42	12,023	1555,05	2963	21	Wollaston	1803
  Platina	Pt	78	195,08	21,45	1768,4	3825	32	Ulloa	1735
  Plutónium	Pu	94	244	19,85	639,5	3228	163	Seaborg et al,	1940
  Polónium	Po	84	209	9,196	254	962	34	Curie	1898
  Prazeodímium	Pr	59	140,91	6,77	935	3520	15	von Weisbach	1885
  Prométium	Pm	61	145	7,26	1042	3000	14	Marinsky et al,	1945
  Protaktínium	Pa	91	231,04	15,37	1568	4027	14	Hahn and Meitner	1917
  Rádium	Ra	88	226	5,5	700	1737	15	Marie and Pierre Curie	1898
  Radon	Rn	86	222	0,00973	-71	-61,7	20	Dorn	1900
  Rénium	Re	75	186,21	21,02	3186	5596	21	Noddack, Berg, and Tacke	1925
  Réz	Cu	29	63,546	8,96	1084,77	2562	11	-	-
  Ródium	Rh	45	102,91	12,41	1964	3695	20	Wollaston	1803
  Rubídium	Rb	37	85,468	1,532	39,46	688	20	Bunsen and Kirchoff	1861
  Ruténium	Ru	44	101,07	12,45	2334	4150	16	Klaus	1844
  Rutherfordium	Rf	104	267	-17	-2673	-6073	-	Ghiorso et al,	1969
  Seaborgium	Sg	106	269	23,5	-	-	-	Ghiorso et al,	1974
  Stroncium	Sr	38	87,62	2,64	777	1382	18	Davy	1808
  Szamárium	Sm	62	150,36	7,52	1072	1794	17	Boisbaudran	1879
  Szelén	Se	34	78,971	4,81	180	685	20	Berzelius	1817
  Szén	C	6	12,011	2,267	3550	4827	7	-	-
  Szilícium	Si	14	28,085	2,329	1414	3265	8	Berzelius	1824
  Szkandium	Sc	21	44,956	2,985	1541	2836	15	Nilson	1879
  Tallium	Tl	81	204,38	11,85	304	1473	28	Crookes	1861
  Tantál	Ta	73	180,95	16,69	3017	5458	19	Ekeberg	1801
  Technécium	Tc	43	97	11	2157	4265	23	Perrier and Segré	1937
  Tellúr	Te	52	127,6	6,24	449,66	988	29	von Reichenstein	1782
  Terbium	Tb	65	158,93	8,23	1356	3230	24	Mosander	1843
  Titán	Ti	22	47,867	4,506	1668	3287	9	Gregor	1791
  Tórium	Th	90	232,04	11,7	1842	4788	12	Berzelius	1828
  Túlium	Tm	69	168,93	9,32	1545	1950	18	Cleve	1879
  Uránium	U	92	238,03	19,1	1132,3	4131	15	Peligot	1841
  Vanádium	V	23	50,942	6,11	1910	3407	9	del Rio	1801
  Vas	Fe	26	55,845	7,874	1538	2861	10	-	-
  Volfrám	W	74	183,84	19,25	3422	5555	22	J, and F, d'Elhuyar	1783
  Xenon	Xe	54	131,29	0,005894	-111,6	-107,97	31	Ramsay and Travers	1898
